ECCS_Clone_RowId,FacilityMnem_Source,Accommodation_Mnem_Source,Accommodation_Name_Source,PA_Code_Source,Active_Source,TargetMatchMtx,DB_RecordCount,FacilityMnem_Target,Accommodation_Mnem_Target,Accommodation_Name_Target,PA_Code_Target,Active_Target,DisplayCurrentValues,ExcludeFromSharepoint,Action To Take,Update_User,Update_Datetime,System_Update_User,System_Update_Datetime,ECCS_SourceServer,ECCS_SourceDatabase,ECCS_SourceProcedure,ECCS_ScopeKind,ECCS_ScopeValue,ECCS_SourceUser,ECCS_ClonedAtUtc
39,COCAG,5EO,5 EAST OVERFLOW IN ER,5E,Y,NO MATCH,0,COCAG,PR,PRIVATE ROOM,PR,Y,Y,N,None,FRE8115,57:43.9,corpsvcmtxcutoverrpt_sql,53:33.3,xrdcwddbsuip06,MTX_ACOE_Cutover_Reporting,UI_Excel_Select_Xwalk_Source_Accommodations,facility,*ALL*,QXA4067,07:43.1
40,COCAG,5WO,5 WEST OVERFLOW IN ER,5W,Y,NO MATCH,0,COCAG,PR,PRIVATE ROOM,PR,Y,Y,N,None,FRE8115,8/28/2026 11:57,corpsvcmtxcutoverrpt_sql,53:33.3,xrdcwddbsuip06,MTX_ACOE_Cutover_Reporting,UI_Excel_Select_Xwalk_Source_Accommodations,facility,*ALL*,QXA4067,07:43.1
41,COCAG,B,WELL NEWBORN,B,N,NO MATCH,0,COCAG,,,,,N,Y,None,FRE8115,42:23.7,corpsvcmtxcutoverrpt_sql,53:33.3,xrdcwddbsuip06,MTX_ACOE_Cutover_Reporting,UI_Excel_Select_Xwalk_Source_Accommodations,facility,*ALL*,QXA4067,07:43.1
42,COCAG,BA,ACUTE BURN,BA,Y,NO MATCH,70,COCAG,BIC,BURN INTINSIVE CARE,BI,Y,Y,N,None,FRE8115,57:44.1,corpsvcmtxcutoverrpt_sql,53:33.3,xrdcwddbsuip06,MTX_ACOE_Cutover_Reporting,UI_Excel_Select_Xwalk_Source_Accommodations,facility,*ALL*,QXA4067,07:43.1
43,COCAG,BAO,BURN ACUTE OVERFLOW IN ER,BO,Y,NO MATCH,0,COCAG,BIC,BURN INTINSIVE CARE,BI,Y,Y,N,None,FRE8115,57:44.2,corpsvcmtxcutoverrpt_sql,53:33.3,xrdcwddbsuip06,MTX_ACOE_Cutover_Reporting,UI_Excel_Select_Xwalk_Source_Accommodations,facility,*ALL*,QXA4067,07:43.1
44,COCAG,BB,BOARDER BABY,BB,N,NO MATCH,0,COCAG,,,,,N,Y,None,FRE8115,42:23.8,corpsvcmtxcutoverrpt_sql,53:33.3,xrdcwddbsuip06,MTX_ACOE_Cutover_Reporting,UI_Excel_Select_Xwalk_Source_Accommodations,facility,*ALL*,QXA4067,07:43.1
45,COCAG,BI,INTERMEDIATE BURN,BI,Y,NO MATCH,3,COCAG,BM,BURN MEDICAL,BM,Y,Y,N,None,FRE8115,57:44.3,corpsvcmtxcutoverrpt_sql,53:33.3,xrdcwddbsuip06,MTX_ACOE_Cutover_Reporting,UI_Excel_Select_Xwalk_Source_Accommodations,facility,*ALL*,QXA4067,07:43.1
46,COCAG,BR,RECONSTRUCTIVE BURN,BR,Y,NO MATCH,2,COCAG,BM,BURN MEDICAL,BM,Y,Y,N,None,FRE8115,57:44.4,corpsvcmtxcutoverrpt_sql,53:33.3,xrdcwddbsuip06,MTX_ACOE_Cutover_Reporting,UI_Excel_Select_Xwalk_Source_Accommodations,facility,*ALL*,QXA4067,07:43.1
47,COCAG,CC,CORONARY CARE,CC,Y,NO MATCH,0,COCAG,IC,INTENSIVE CARE,IC,Y,Y,N,None,FRE8115,57:44.5,corpsvcmtxcutoverrpt_sql,53:33.3,xrdcwddbsuip06,MTX_ACOE_Cutover_Reporting,UI_Excel_Select_Xwalk_Source_Accommodations,facility,*ALL*,QXA4067,07:43.1
48,COCAG,CDU,CHEMICAL DEPENDENCY UNIT,CD,Y,NO MATCH,0,COCAG,PR,PRIVATE ROOM,PR,Y,Y,N,None,FRE8115,57:44.6,corpsvcmtxcutoverrpt_sql,53:33.3,xrdcwddbsuip06,MTX_ACOE_Cutover_Reporting,UI_Excel_Select_Xwalk_Source_Accommodations,facility,*ALL*,QXA4067,07:43.1
